p.accession,p.type,target.LPGF,decoy.LPGF
NP_001014432.1,master,inf,0.4276980426691183
NP_060566.2,master,inf,0.5806594818642384
NP_001202.4,master,inf,0.07679690338180489
NP_001008708.1,master,8.683971832689569,0.7675032503098644
NP_001008214.1,master,inf,2.1249775763745244
NP_001918.3,master,inf,1.2881819779171881
NP_036365.1,master,7.623363704924495,0.30086384814855277
NP_055764.2,master,inf,0.06250677408465351
NP_563615.3,master,inf,0.528947026699947
NP_001973.2,master,inf,0.00900320074568636
NP_001005781.1,master,inf,0.8328329947597951
NP_001524.2,master,inf,0.08798114024522583
NP_002108.4,master,8.119700402251006,0.22785579825643276
NP_443137.2,master,inf,0.48321928003745335
NP_002922.2,master,inf,0.10233602167932727
NP_060554.3,master,8.312349835287728,-1.3029132077426122
NP_003320.2,master,inf,0.46570410822587044
NP_112235.2,master,inf,0.7650827744809905
NP_000080.2,master,inf,1.1977212364189176
NP_001888.2,master,inf,0.47413952580649715
NP_000203.2,master,inf,0.24149579911025507
NP_064522.3,master,inf,0.5356882807915561
NP_981946.1,master,inf,1.1648656876624734
NP_002567.3,master,12.46603905369056,0.5635223725284862
NP_057359.2,master,inf,0.2949434098604956
NP_005889.3,master,inf,0.8106520403307503
NP_061961.2,master,7.1327113205210235,0.000449721407841747
NP_003875.3,master,inf,0.39114422556080075
NP_954657.1,master,inf,0.23505190447822638
NP_002063.2,master,inf,0.14461950060842693
NP_000594.2,master,inf,0.004108384657749571
NP_056183.2,master,inf,0.5837791512194868
NP_060179.2,master,inf,0.27528000077074566
NP_006582.1,master,inf,0.41803475424608133
NP_938405.1,master,inf,0.5024874414037279
NP_001410.2,master,inf,0.6890648281547993
NP_006608.1,master,inf,1.5017358109407042
NP_006828.2,master,inf,0.3399118072396033
NP_056289.2,master,inf,0.6122393997609193
NP_908930.1,master,inf,2.584277120055662
NP_006395.2,master,inf,0.022413528554031052
NP_005392.2,master,inf,0.787561309084366
NP_005393.2,master,inf,0.7474300254253851
NP_005907.3,master,inf,0.038007748287982125
NP_004517.2,master,inf,0.003983489704381731
NP_872590.1,master,inf,0.4900484387842569
NP_066554.2,master,inf,1.1309610238968182
NP_066923.3,master,inf,0.7916768257102251
NP_859066.1,master,inf,0.3183530519937461
NP_079023.2,master,inf,0.41633499149783293
NP_573566.2,master,inf,0.9291415049994428
NP_001061.2,master,inf,0.21890111733382464
NP_078932.2,master,inf,0.014380964524830023
NP_835369.1,master,inf,1.3955126231701833
NP_821068.1,master,7.940232698043193,0.020522177712176595
NP_789794.1,master,7.505582633235946,1.2791497967399816
