p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_001207.2,master,10.01514240674659,0.4841855610002163,true,tb
NP_001432.2,master,inf,0.059528725220642426,true,tb
NP_005994.2,master,inf,0.18538142216454126,true,tb
NP_002996.2,master,inf,0.13023756646590592,true,tb
NP_055634.3,master,inf,0.2776058803266629,true,tb
NP_001609.2,master,inf,1.01565535031712,true,tb
NP_085128.2,master,2.5087244729702918,0.038185308316965545,true,tb
NP_036213.2,master,inf,0.27300645428957826,true,tb
NP_002115.2,master,inf,0.3702944890019193,true,tb
NP_003676.2,master,inf,0.19758203302247715,true,tb
NP_066564.2,master,inf,0.9766812924950452,true,tb
NP_000033.2,master,inf,0.07852805417136206,true,tb
NP_006258.3,master,inf,0.3378175468449005,true,tb
NP_003632.3,master,inf,0.00816886637581417,true,tb
NP_055990.1,master,inf,0.16031881937379616,true,tb
NP_077024.2,master,inf,0.19209642632947094,true,tb
NP_002327.2,master,6.721705790822371,0.2855944140369563,true,tb
NP_066362.2,master,inf,0.02753259820006817,true,tb
NP_001091679.1,master,inf,1.4124037131864229,true,tb
NP_001078956.1,master,inf,0.10053604978069604,true,tb
NP_658988.2,master,inf,0.6968902719650216,true,tb
NP_077283.2,master,inf,0.3979929526557043,true,tb
NP_000426.2,master,inf,1.460197944907228,true,tb
NP_002731.4,master,inf,0.028098132749669557,true,tb
NP_079358.3,master,inf,0.23167968662072835,true,tb
NP_055387.2,master,inf,0.11084085727643604,true,tb
NP_003913.3,master,inf,0.4057769041974311,true,tb
NP_001073996.1,master,0.3660361016916205,0.5123087128522251,false,db
NP_056131.2,master,inf,0.08348672904939773,true,tb
NP_000415.2,master,inf,0.11333996716774755,true,tb
NP_006112.3,master,inf,1.5122817164089553,true,tb
NP_000050.2,master,inf,-0.3945723529591335,true,tb
NP_001444.2,master,8.776937858492749,0.2668572231365722,true,tb
NP_000187.3,master,inf,1.1681439969628822,true,tb
NP_057323.3,master,-0.4036421311289868,0.23631846000284704,false,db
NP_001070960.1,master,inf,0.5556240110203197,true,tb
NP_001070911.1,master,inf,0.5061915862678982,true,tb
NP_001070910.1,master,inf,0.5339654671868616,true,tb
NP_008964.3,master,inf,0.7222230722049847,true,tb
NP_612430.2,master,inf,0.09771730105656833,true,tb
NP_006624.2,master,inf,0.12463062149092476,true,tb
NP_115690.3,master,inf,3.394902369348268,true,tb
NP_006458.2,master,8.12213233720523,0.21586338020217005,true,tb
NP_938020.2,master,inf,0.25554129870141423,true,tb
NP_612450.2,master,inf,0.22243005518887585,true,tb
NP_002991.2,master,inf,0.4239160994116794,true,tb
NP_006090.2,master,8.538951825696996,1.0039848361569537,true,tb
NP_055211.2,master,8.370326635868718,0.1569899938482148,true,tb
NP_005522.2,master,inf,0.4506812686746478,true,tb
NP_005552.3,master,inf,0.2793024553876386,true,tb
NP_005609.3,master,3.1793502554677118,0.0043796396406661,true,tb
NP_055935.4,master,inf,0.09658151221639154,true,tb
NP_000079.2,master,inf,3.2235062315048597,true,tb
NP_057209.3,master,9.343383569732406,0.5162778311746041,true,tb
NP_005819.3,master,inf,0.07612397635228457,true,tb
NP_000312.2,master,inf,0.19823478471860254,true,tb
NP_006149.2,master,inf,1.2481537679247727,true,tb
NP_002408.3,master,inf,-1.2774506920556221,true,tb
NP_056151.2,master,inf,0.14758388311696144,true,tb
NP_002461.2,master,inf,-0.013661798697035269,true,tb
NP_002271.3,master,3.738509590721317,0.3856766847369517,true,tb
NP_543011.2,master,inf,0.11440759961938908,true,tb
NP_000370.2,master,inf,0.5558141916680753,true,tb
NP_001035109.1,master,inf,1.545493446194072,true,tb
NP_001034579.1,master,inf,0.09497460244671976,true,tb
NP_001034438.1,master,inf,0.0016615127073913859,true,tb
NP_006600.3,master,inf,0.012634973529493004,true,tb
NP_055053.1,master,inf,0.1321284244630915,true,tb
NP_004985.2,master,inf,0.4338527352063471,true,tb
NP_001028204.1,master,8.115012845659914,0.07583679322288699,true,tb
NP_001027466.1,master,inf,0.3207038777044321,true,tb
NP_006176.2,master,11.014023483700914,-0.5370394555699939,true,tb
NP_004547.2,master,inf,0.4292569392554231,true,tb
NP_009146.2,master,inf,0.011120583653375666,true,tb
NP_001803.2,master,inf,1.1252653865584124,true,tb
NP_005073.2,master,inf,0.8006482375221305,true,tb
NP_001255.3,master,inf,0.18674091812492094,true,tb
NP_005507.3,master,inf,0.15998831986044554,true,tb
NP_000177.2,master,inf,0.10863747431836177,true,tb
NP_001014432.1,master,inf,0.4276980426691183,true,tb
NP_060566.2,master,inf,0.5806594818642384,true,tb
NP_001202.4,master,inf,0.07679690338180489,true,tb
NP_001008708.1,master,8.683971832689569,0.7675032503098644,true,tb
NP_001008214.1,master,inf,2.1249775763745244,true,tb
NP_001918.3,master,inf,1.288181977917188,true,tb
NP_036365.1,master,7.623363704924495,0.3008638481485528,true,tb
NP_055764.2,master,inf,0.06250677408465351,true,tb
NP_563615.3,master,inf,0.5289470266999471,true,tb
NP_001973.2,master,inf,0.00900320074568636,true,tb
NP_001005781.1,master,inf,0.8328329947597951,true,tb
NP_001524.2,master,inf,0.08798114024522583,true,tb
NP_002108.4,master,8.119700402251006,0.2278557982564328,true,tb
NP_443137.2,master,inf,0.4832192800374534,true,tb
NP_002922.2,master,inf,0.10233602167932727,true,tb
NP_060554.3,master,8.312349835287726,-1.3029132077426122,true,tb
NP_003320.2,master,inf,0.4657041082258704,true,tb
NP_112235.2,master,inf,0.7650827744809905,true,tb
NP_000080.2,master,inf,1.1977212364189176,true,tb
NP_001888.2,master,inf,0.4741395258064972,true,tb
NP_000203.2,master,inf,0.2414957991102551,true,tb
NP_064522.3,master,inf,0.5356882807915561,true,tb
NP_981946.1,master,inf,1.1648656876624734,true,tb
NP_002567.3,master,12.46603905369056,0.5635223725284862,true,tb
NP_057359.2,master,inf,0.2949434098604956,true,tb
NP_005889.3,master,inf,0.8106520403307503,true,tb
NP_061961.2,master,7.132711320521024,0.00044972140784174696,true,tb
NP_003875.3,master,inf,0.3911442255608008,true,tb
NP_954657.1,master,inf,0.2350519044782264,true,tb
NP_002063.2,master,inf,0.14461950060842693,true,tb
NP_000594.2,master,inf,0.0041083846577495715,true,tb
NP_056183.2,master,inf,0.5837791512194868,true,tb
NP_060179.2,master,inf,0.2752800007707457,true,tb
NP_006582.1,master,inf,0.4180347542460813,true,tb
NP_938405.1,master,inf,0.5024874414037279,true,tb
NP_001410.2,master,inf,0.6890648281547993,true,tb
NP_006608.1,master,inf,1.5017358109407042,true,tb
NP_006828.2,master,inf,0.3399118072396033,true,tb
NP_056289.2,master,inf,0.6122393997609193,true,tb
NP_908930.1,master,inf,2.584277120055662,true,tb
NP_006395.2,master,inf,0.022413528554031045,true,tb
NP_005392.2,master,inf,0.787561309084366,true,tb
NP_005393.2,master,inf,0.7474300254253851,true,tb
NP_005907.3,master,inf,0.038007748287982125,true,tb
NP_004517.2,master,inf,0.0039834897043817315,true,tb
NP_872590.1,master,inf,0.4900484387842569,true,tb
NP_066554.2,master,inf,1.1309610238968182,true,tb
NP_066923.3,master,inf,0.7916768257102251,true,tb
NP_859066.1,master,inf,0.3183530519937461,true,tb
